Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
8/12/2023,2:00,2.322,-,2.59
8/12/2023,3:00,1.444,-,1.66
8/12/2023,4:00,0.987,-,1.25
8/12/2023,5:00,0.933,-,1.32
8/12/2023,6:00,1.263,-,1.67
8/12/2023,7:00,1.951,-,2.37
8/12/2023,8:00,2.812,-,3.2
8/12/2023,9:00,3.587,-,4.07
8/12/2023,10:00,4.047,-,4.58
8/12/2023,11:00,4.044,-,4.59
8/12/2023,12:00,3.606,-,4.1
8/12/2023,13:00,2.849,-,3.27
8/12/2023,14:00,1.923,-,2.42
8/12/2023,15:00,1.129,-,1.56
8/12/2023,16:00,0.774,-,1.16
8/12/2023,17:00,0.901,-,1.32
8/12/2023,18:00,1.434,-,1.93
8/12/2023,19:00,2.325,-,2.99
8/12/2023,20:00,3.418,-,4.02
8/12/2023,21:00,4.443,-,5.11
8/12/2023,22:00,5.151,-,5.96
8/12/2023,23:00,5.362,-,6.22
8/13/2023,0:00,5.044,-,5.7
8/13/2023,1:00,4.305,-,4.76
8/13/2023,2:00,3.266,-,3.67
8/13/2023,3:00,2.15,-,2.57
8/13/2023,4:00,1.297,-,1.73
8/13/2023,5:00,0.884,-,1.3
8/13/2023,6:00,0.884,-,1.31
8/13/2023,7:00,1.291,-,1.66
8/13/2023,8:00,2.054,-,2.47
8/13/2023,9:00,2.961,-,3.34
8/13/2023,10:00,3.743,-,4.1
8/13/2023,11:00,4.163,-,4.49
8/13/2023,12:00,4.091,-,4.43
8/13/2023,13:00,3.576,-,3.81
8/13/2023,14:00,2.742,-,3.04
8/13/2023,15:00,1.77,-,1.96
8/13/2023,16:00,0.996,-,1.09
8/13/2023,17:00,0.704,-,0.78
8/13/2023,18:00,0.906,-,1.03
8/13/2023,19:00,1.526,-,1.71
8/13/2023,20:00,2.504,-,2.76
8/13/2023,21:00,3.646,-,3.99
8/13/2023,22:00,4.665,-,5.04
8/13/2023,23:00,5.31,-,5.9
8/14/2023,0:00,5.412,-,6.08
8/14/2023,1:00,4.973,-,5.64
8/14/2023,2:00,4.119,-,4.66
8/14/2023,3:00,2.994,-,3.54
8/14/2023,4:00,1.863,-,2.4
8/14/2023,5:00,1.071,-,1.48
8/14/2023,6:00,0.755,-,1.02
8/14/2023,7:00,0.87,-,1.18
8/14/2023,8:00,1.407,-,1.73
8/14/2023,9:00,2.276,-,2.57
8/14/2023,10:00,3.23,-,3.53
8/14/2023,11:00,3.989,-,4.31
8/14/2023,12:00,4.319,-,4.72
8/14/2023,13:00,4.119,-,4.51
8/14/2023,14:00,3.476,-,3.91
8/14/2023,15:00,2.539,-,2.9
8/14/2023,16:00,1.529,-,1.83
8/14/2023,17:00,0.809,-,1.03
8/14/2023,18:00,0.627,-,0.76
8/14/2023,19:00,0.952,-,1.28
8/14/2023,20:00,1.701,-,2.06
8/14/2023,21:00,2.784,-,3.15
8/14/2023,22:00,3.965,-,4.42
8/14/2023,23:00,4.944,-,5.57
8/15/2023,0:00,5.471,-,6.18
8/15/2023,1:00,5.406,-,6.07
8/15/2023,2:00,4.796,-,5.4
8/15/2023,3:00,3.801,-,4.39
8/15/2023,4:00,2.599,-,3.25
8/15/2023,5:00,1.498,-,2.21
8/15/2023,6:00,0.825,-,1.57
8/15/2023,7:00,0.663,-,1.4
8/15/2023,8:00,0.946,-,1.61
8/15/2023,9:00,1.642,-,2.29
8/15/2023,10:00,2.616,-,3.11
8/15/2023,11:00,3.586,-,3.98
8/15/2023,12:00,4.268,-,4.59
8/15/2023,13:00,4.446,-,4.93
8/15/2023,14:00,4.068,-,4.49
8/15/2023,15:00,3.271,-,3.67
8/15/2023,16:00,2.237,-,2.62
8/15/2023,17:00,1.231,-,1.59
8/15/2023,18:00,0.625,-,0.91
8/15/2023,19:00,0.605,-,1.04
8/15/2023,20:00,1.092,-,1.49
8/15/2023,21:00,1.987,-,2.45
8/15/2023,22:00,3.161,-,3.6
8/15/2023,23:00,4.342,-,5.2
8/16/2023,0:00,5.221,-,5.94
8/16/2023,1:00,5.566,-,6.35
8/16/2023,2:00,5.281,-,6.28
8/16/2023,3:00,4.476,-,5.11
8/16/2023,4:00,3.35,-,4.18
8/16/2023,5:00,2.119,-,3
8/16/2023,6:00,1.117,-,1.75
8/16/2023,7:00,0.63,-,1.24
8/16/2023,8:00,0.672,-,1.31
8/16/2023,9:00,1.15,-,1.8
8/16/2023,10:00,2.003,-,2.7
8/16/2023,11:00,3.047,-,3.72
8/16/2023,12:00,3.978,-,4.54
8/16/2023,13:00,4.519,-,5.15
8/16/2023,14:00,4.488,-,5.17
8/16/2023,15:00,3.903,-,4.63
